"Parameter","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11","2019-12","2020-01","2020-02","2020-03","2020-04","2020-05","2020-06","2020-07","2020-08","2020-09","2020-10","2020-11","2020-12","2021-01","2021-02","2021-03","2021-04","2021-05","2021-06","2021-07","2021-08","2021-09","2021-10","2021-11","2021-12","2022-01","2022-02","2022-03","2022-04","2022-05","2022-06","2022-07","2022-08","2022-09","2022-10","2022-11","2022-12","2023-01","2023-02","2023-03","2023-04","2023-05","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2024-01","2024-02","2024-03","2024-04","2024-05","2024-06","2024-07","2024-08","2024-09","2024-10","2024-11","2024-12"
"Coal - Generation (in MU)","69395.78","74322.05","68102.08","69686.27","69025.51","74409.06","81209.3","71269.75","75315.98","78146.02","75210.15","80507.25","83037.5","80984.36","76709.43","70535.53","67767.45","74700.28","79871.77","78440.42","81002.86","81826.51","75581.53","85733.27","85368.68","87266.54","75834.07","74303.76","79689.42","80140.52","82742.08","79798.78","82008.28","86649.5","79386.62","91435.17","88126.3","92044.47","82583.05","78145.19","79685.89","83084.79","91934.98","84241.98","85902.05","86269.57","77864.39","91173.97","90343.88","94368.07","89879.62","83172.97","76794.86","74565.92","74827.29","75688.43","82721.39","87354.62","85384.88","78191.44","61735.86","72354.12","72768.3","80220.43","74417.44","81248.27","84594.25","78419.48","87520.28","93799.59","87845.62","103072.7","99918.89","83998.77","81969.24","89013.65","92466.54","81968.78","86461.29","80367.16","90986.23","94054.29","90799.97","105870.47","108888.18","105933.43","103199.97","92313.38","91225.18","91508.16","86536.92","92648.58","101077.97","104444.77","97553.31","106423.4","109058.77","108610.11","106116.24","100870.32","106371.54","105819.98","113958.88","101951.9","103507.6","114877.66","106874.8","116162.17","119883.49","122574.21","116170.84","108650.16","101571.5","99548.04","111625.24","102728.89","106536.42"
"Oil & Gas - Generation (in MU)","3246.28","3242.43","3796.41","3662.57","3854.07","4372.24","4156.93","4038.93","4263.18","3946.32","3943.46","4599.28","4173.18","4321.59","4069.68","4027.92","4439.72","4583.88","4231.62","3986.37","3888.68","3563.09","3640.63","4167.59","3862.63","4287.91","4218.02","4235.67","4018.16","4652.55","5146.33","4452.27","4011.19","3854.21","3413.26","4055.54","4679.57","4796.53","4030.81","4029.69","3699.72","4193.12","5600.02","3904.04","4000.83","3971.55","3194.95","3732.91","4206.71","4451.92","4328.38","4159.71","3947.63","4377.15","4250.39","3807.33","3551.76","3392.71","3667.27","4301.69","4858.01","5227.27","5081.06","4860.63","4335.48","4393.48","4760.75","3799.87","3492.53","3016.2","3130.36","3988.37","3727.03","3453","3424.5","3374.39","3735.19","3321.13","3629.3","2305.75","2274.68","2191.34","2097.97","2481.49","2660.45","2451.1","2389.39","2002.31","1967.39","1758.94","1590.28","1758.85","1806.34","1883.95","1753.56","1862.48","2438.18","2829.79","3029.3","2238.58","3620.76","2957.84","3227.73","1647.79","1913.56","2543.19","2325.01","2524.2","3720.34","5163.85","4612.32","2663.57","2518.73","2493.84","2330.48","1433.56","1599.6"
"Nuclear - Generation (in MU)","3506.1","3457.01","3449.28","3022.21","2834.19","2806.7","2876.22","2868.49","2950.27","3056.56","2998.87","3587.72","3285.31","2948.61","2866.87","3258.16","3549.8","3095.57","3154.86","3235.18","2860.05","3042.82","2856.03","3778.55","3205.1","2807.94","3046.29","3042.2","2287.74","2671.45","3123.13","3609.75","3959.36","4050.81","3378.33","3164.02","3306.44","3187.09","3504.52","3600.96","2751.56","2651.74","3153.74","3229.28","3072.22","3120.11","2878.99","3355.95","3287.32","3782.3","4052.02","4382.27","4302.32","4220.23","4312.43","3792.35","3676.59","3437.39","3172.9","4054.31","3860.07","3797.54","3764.73","3358.52","3590.73","3881.96","3969.13","3830.99","3894.84","3214.5","2704.82","3161.24","3363.72","4000.16","3892.12","3613.17","3139.89","3896.95","4417.41","4062.63","4451.32","4056.7","3811.39","4406.57","3521.19","3524.72","3867.38","4016.93","3586.77","3412.52","4219.26","3869.67","3901.58","4118.92","3774.36","4047.79","3512.45","3495.91","3209.74","3954.53","4370.12","4525.77","4493.54","4424.49","4276.81","4152.32","3501.79","4019.94","4443.61","4447.05","4217.61","4799.84","5492.07","4926.44","4768.92","4809.77","5124.7"
"Hydro - Generation (in MU)","9421.19","12854.8","12509.46","15094.48","17779.11","12299.09","9025.41","6821.86","6339.87","6159.08","6087.2","6985.17","7812.97","10722.43","12295.89","15082.8","17667.61","14084.48","10687.49","6667.41","6257.72","6450.46","6735.85","7912.66","10185","12417.88","13666.89","15454.47","15558.62","14101.47","11182.65","7364.18","6898.45","6619.51","5681.64","6999.67","7556.81","10679.36","13339.15","15778.86","18601.88","17426.11","12410.09","8147.25","7779.76","7366.66","7120.2","8687.37","11072.61","14081.23","14343.9","15777.34","19928.38","20790.74","14636.31","10020.92","8926.26","8665.07","8435.86","9089.9","10121.42","14026.13","17015.82","17922.37","18949.94","18890.42","13143.24","8416.67","8158.92","7963.44","7316.26","8374.89","8265.58","11752.08","16008.29","18745.28","20269.89","17765.28","15534.61","9705.74","8066.17","7497","7433.41","10583.8","11540.96","12880.91","13946.11","19465.11","23404.11","22016.56","16178.67","9838.32","8559.81","8034.28","8358.46","7773.55","8728.97","11458.67","14334.25","17924.48","21959.8","16322.75","11240.45","6621.29","6167.11","6352.28","5928.16","7015.71","8109.14","12595.42","14173.69","17562.91","21565.9","20574.25","14455.88","8630.89","7753.43"
"Solar - Generation (in MU)","512.31","560.91","515.11","455.52","510.73","600.51","726.49","578.11","651.61","535.11","743.56","954.35","1027.64","1025.41","911.02","851.91","929.36","1017","1211.11","1200.89","1157.95","1183.56","1352.43","1670.99","1748.45","1927.44","1794.04","1655.58","1660.44","1989.77","2163.67","2107.6","2221.45","2541.67","2656.06","3305.21","3172.62","3314.67","3006.75","2549.2","2632.08","3205.37","3446.37","3135.46","3072.44","3386.93","3583.66","4301.07","4168.67","4328.18","3918.13","3428.08","3575.74","3565.14","3882.41","3936.84","3928.43","4612.73","5090.68","5633.32","5353.45","5618.31","4703.24","4639.49","4264.76","4550.72","4876.02","4592.33","4748.54","4865.42","5435.81","6754.25","6122.2","5994.67","6006.23","5170.06","5449.51","5409.09","6225.91","5014.78","5858.04","6611.1","7276.19","8338.24","8323.9","8827.56","8259.94","6965.88","7428.25","8207.73","8726.85","7976.88","8207.51","9290.04","9555.41","10244.33","10318.71","10776.14","9607.6","8435.4","9325.8","9220.78","10219.76","7820.96","8594.53","9008.47","10421.23","12225.86","12021.04","12645.99","11445.66","10356.34","10157.54","11302.62","12256.61","11246.52","10707.21"
"Wind - Generation (in MU)","1832.3","2673.76","3946.56","6591.88","5113.45","3221.01","2023.15","1530.58","1498.03","1056.32","1649.17","1893.26","2231.34","4132.08","5854.24","6977.52","6818.77","5595.97","3607.68","1863.98","1779.9","2308.46","2485.97","2355.65","3590.03","4982.91","7229.11","9858.31","7512.16","3897.07","2873.55","2435.92","3099.87","2007.52","2272.88","2906.78","3322.76","4441.09","8336.94","11365.27","11771.65","6093.35","2822.77","2181.02","2789.25","2851.89","3094.48","2965.95","3707.29","6603.94","8781.15","11343.6","9704.01","5477.94","2111.49","2723.82","3948.75","3319.96","3518.88","3405.61","3473.88","6237.9","7895.8","6966.95","9645.51","4852.13","3989.93","3305.21","3815.72","3562.31","2872.83","3531.87","3734.39","7083.52","9725.45","11421.28","9348.92","6981.27","2977.92","3277.51","3577.02","3398.22","3107.75","4006.84","4126.24","10174.27","9708.52","10266.44","8694.96","6654.49","3421.81","2489.5","3996.15","5013.75","3126.99","4141.08","4249.19","8117.62","11557.78","12449.42","12316.2","8850.83","3548.34","3544.28","5113","4075.12","4907.57","4578.06","4729.27","8257.63","10134.92","13627","10268.88","8870.62","3238.28","3109.33","5747.49"
"Small-Hydro - Generation (in MU)","519.15","685.93","775.37","1069.77","1166.68","943.72","747.36","604.45","528.58","449.36","372.61","496.8","526.52","657.7","644.99","1118.24","1286.59","1002.13","687.94","696.77","339.19","301.53","414.99","482.79","561.57","602.19","587.43","885.39","1070.07","1021.36","845.97","546.54","472.66","383.42","339.12","376.86","384.14","472.03","761.27","1193.59","1530.91","1001.3","872.37","678.17","516.71","428.58","390.64","473.06","518.15","592.36","665.55","858.78","1120.48","1290.35","1110.14","835.55","701.69","562.16","562.16","639.67","693.59","767.2","817.38","1079.69","1274.72","1377.01","1200.53","856.69","698.31","574.18","465.18","450.54","440.02","554.69","725.56","1222.08","1476.12","1525.12","1275.24","879.1","630.05","528.88","567.61","639.08","682.41","644.69","698.89","1240.82","1520.99","1539.56","1297.68","1009.26","758.44","638.21","560.79","578.31","586.22","727.33","735.29","1249.05","1238.79","1222.14","965.6","774.58","592.32","482.9","442.67","468.22","593.84","734.16","776.37","1323.02","1600.37","1612.83","1457.59","860.92","807.35"
"Bio Power - Generation (in MU)","1688.88","1222.24","853.03","742.6","726.06","707.68","844.47","1416.99","2287.2","2325.4","2217.97","1911.34","1303.38","1025.84","696.03","599.29","598.56","716.49","788.52","1528.8","2159.64","1991.17","1534.92","1439.53","1011.91","752.19","634.21","562.29","634.65","631.77","692.82","1805.1","2334.87","2450.59","2219.69","2097.75","1558.01","1020.63","716.06","575.3","436.46","440.7","667.46","1795.83","2595.23","2617.92","2227.37","2100.87","1475.07","891.18","554.27","535.6","510.51","460.46","528.25","1097.73","2125.89","2204.11","2080.78","1639.08","1191.1","956.93","599.62","582.71","576.22","590.84","717.67","1900.05","2474.98","2344.64","2276.62","2030.75","1352.32","882.77","633.06","1155.39","631.53","573.39","770.24","1986.93","2689.34","2611.42","2379.19","2658.95","1974.28","1236.48","829.66","667.4","610.51","541.51","792.27","1917.73","2633.32","2793.4","2356.16","2200.98","1521.05","1092.33","701.95","614.66","614.26","616.25","678.31","1945.96","2468.24","2496.92","2227.16","2012.29","1291.22","863.78","695.33","661.59","678.49","609.98","749.89","1538.49","2511.43"
"Total","90121.99","99019.13","93947.3","100325.3","101009.8","99360.01","101609.33","89129.16","93834.72","95674.17","93222.99","100935.17","103397.84","105818.02","104048.15","102451.37","103057.86","104795.8","104240.99","97619.82","99445.99","100667.6","94602.35","107541.03","109533.37","115045","107010.06","109997.67","112431.26","109105.96","108770.2","102120.14","105006.13","108557.23","99347.6","114341","112106.65","119955.87","116278.55","117238.06","121110.15","118096.48","120907.8","107313.03","109728.49","110013.21","100354.68","116791.15","118779.7","129099.18","126523.02","123658.35","119883.93","114747.93","105658.71","101902.97","109580.76","113548.75","111913.41","106955.02","91287.38","108985.4","112645.95","119630.79","117054.8","119784.83","117251.52","105121.29","114804.12","119340.28","112047.5","131364.61","126924.15","117719.66","122384.45","133715.3","136517.59","121441.01","121291.92","107599.6","118532.85","120948.95","117473.48","138985.44","141717.61","145673.16","142899.86","136938.27","138438.16","135639.47","122763.74","121508.79","130941.12","136217.32","127039.04","137271.92","140413.54","147107.9","149292.15","147736.44","159817.27","149536.34","148332.61","128731.25","132633.17","143988.86","136628.39","149006.45","154791.95","167282.09","162226.74","159644.43","153853.48","149938.62","150882.89","134358.37","140787.63"
"Growth Rate (in %)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Copyright Â© 2025, NITI Aayog","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://iced.niti.gov.in","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"The information on this platform is mainly taken from official sources. However, in some cases, a few assumptions have been made and some data derived or assumed and is given in the detailed. While we believe that the data is reliable and adequately comprehensive, NITI Aayog ICED does not take guarantee that such information is in all respects accurate. NITI Aayog ICED does not accept any liability for any consequences resulting from the use of this data.sss","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
